Variable,,PyGEM,OGGM,IGM,GloGEM,ISMIP,GlacierMIP4_standardized,Regional: Mandatory / Optional,Individual glaciers: Mandatory/optional,"Definition * 
* Glossary definition from https://wgms.ch/downloads/Cogley_etal_2011.pdf",Def. Alternative,Notes/refs
,Temporal resolution,monthly,,,annual,,monthly,,,,,
,Metadata (if available),"comment = ""start of the month""; calendar = ""no leap""; year_type = ""calendar year""",,,Floating year,,Start of the month,,,,,
RGI ID,,,,,,,,Mandatory,Mandatory,"For individual glaciers e.g. RGI60-11.00897
For regional averages e.g. RGI60-11",,
,Var. short name,RGIId,,,Part of the variable files where column one shows the glacier ID,,RGIId,,,,,
,Var. long name,Randolph Glacier Inventory ID,,,,,Randolph Glacier Inventory ID,,,,,
,Unit,-,,,,,-,,,,,
,Sign,,,,,,positive,,,,,
,Data type,string,,,,,string,,,,,
,Temporal resolution,-,,,,,-,,,,,
,Metadata (if available),"comment = ""RGIv6.0""",,,,,RGI 6 or 7?,,,,,
,,,,,,,,,,,,
,Var. short name,,,,,,,,,,,
,Var. long name,,,,,,,,,,,
,Unit,,,,,,,,,,,
,Data type,,,,,,,,,,,
,Temporal resolution,,,,,,,,,,,
,Metadata (if available),,,,,,,,,,,
